areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate
overview,United Kingdom,K02000001,2021-10-25,46264,8894076
overview,United Kingdom,K02000001,2021-10-24,34996,8847812
overview,United Kingdom,K02000001,2021-10-23,34387,8812816
overview,United Kingdom,K02000001,2021-10-22,39883,8778429
overview,United Kingdom,K02000001,2021-10-21,44322,8738546
overview,United Kingdom,K02000001,2021-10-20,50715,8694224
overview,United Kingdom,K02000001,2021-10-19,51466,8643509
overview,United Kingdom,K02000001,2021-10-18,56607,8592043
overview,United Kingdom,K02000001,2021-10-17,42956,8535436
overview,United Kingdom,K02000001,2021-10-16,37235,8492480
overview,United Kingdom,K02000001,2021-10-15,42805,8455245
overview,United Kingdom,K02000001,2021-10-14,45586,8412440
overview,United Kingdom,K02000001,2021-10-13,46948,8366854
overview,United Kingdom,K02000001,2021-10-12,47465,8319906
overview,United Kingdom,K02000001,2021-10-11,49411,8272441
overview,United Kingdom,K02000001,2021-10-10,35797,8223030
overview,United Kingdom,K02000001,2021-10-09,31686,8187233
overview,United Kingdom,K02000001,2021-10-08,34976,8155547
overview,United Kingdom,K02000001,2021-10-07,37858,8120571
overview,United Kingdom,K02000001,2021-10-06,38580,8082713
overview,United Kingdom,K02000001,2021-10-05,38593,8044133
overview,United Kingdom,K02000001,2021-10-04,43038,8005540
overview,United Kingdom,K02000001,2021-10-03,31481,7962502
overview,United Kingdom,K02000001,2021-10-02,25885,7931021
overview,United Kingdom,K02000001,2021-10-01,28610,7905136
overview,United Kingdom,K02000001,2021-09-30,32011,7876526
overview,United Kingdom,K02000001,2021-09-29,34299,7844515
overview,United Kingdom,K02000001,2021-09-28,35928,7810216
overview,United Kingdom,K02000001,2021-09-27,40920,7774288
overview,United Kingdom,K02000001,2021-09-26,31522,7733368
overview,United Kingdom,K02000001,2021-09-25,27859,7701846
overview,United Kingdom,K02000001,2021-09-24,31601,7673987
overview,United Kingdom,K02000001,2021-09-23,35217,7642386
overview,United Kingdom,K02000001,2021-09-22,36156,7607169
