Date,Cars,Light Commercial Vehicles,Heavy Goods Vehicles,All motor vehicles,National Rail,Transport for London Tube,Transport for London Bus,Bus (excl. London),Cycling
01-03-2020,103%,111%,108%,104%,97%,104%,102%,..,..
02-03-2020,102%,106%,103%,103%,94%,95%,97%,..,..
03-03-2020,101%,105%,102%,102%,95%,95%,96%,..,..
04-03-2020,101%,104%,103%,101%,95%,95%,97%,..,..
05-03-2020,100%,103%,102%,100%,97%,92%,92%,..,..
06-03-2020,102%,103%,102%,102%,99%,92%,96%,..,..
07-03-2020,101%,109%,108%,102%,99%,91%,93%,..,..
08-03-2020,105%,113%,112%,106%,99%,87%,95%,..,89%
09-03-2020,101%,107%,104%,103%,100%,90%,95%,101%,105%
10-03-2020,99%,105%,103%,101%,99%,89%,97%,102%,82%
11-03-2020,99%,104%,103%,100%,98%,86%,93%,98%,118%
12-03-2020,98%,102%,102%,99%,96%,81%,92%,98%,120%
13-03-2020,98%,100%,102%,98%,92%,72%,87%,94%,99%
14-03-2020,93%,102%,108%,95%,89%,61%,83%,85%,127%
15-03-2020,94%,105%,112%,96%,85%,54%,74%,85%,93%
16-03-2020,96%,103%,104%,98%,78%,60%,79%,88%,104%
17-03-2020,86%,95%,103%,89%,69%,44%,70%,77%,77%
18-03-2020,80%,90%,100%,83%,59%,35%,65%,62%,93%
19-03-2020,79%,88%,100%,82%,51%,30%,59%,58%,91%
20-03-2020,78%,85%,98%,81%,43%,24%,52%,53%,82%
21-03-2020,70%,79%,102%,73%,37%,13%,39%,40%,118%
22-03-2020,66%,73%,101%,69%,33%,11%,32%,35%,126%
23-03-2020,64%,77%,97%,69%,25%,15%,31%,27%,86%
24-03-2020,44%,56%,84%,49%,20%,9%,22%,17%,85%
25-03-2020,37%,47%,77%,42%,16%,7%,19%,14%,128%
26-03-2020,35%,43%,72%,39%,13%,6%,18%,13%,132%
27-03-2020,35%,42%,69%,38%,10%,6%,18%,14%,106%
28-03-2020,27%,34%,71%,30%,9%,4%,17%,12%,125%
29-03-2020,23%,29%,72%,25%,8%,4%,16%,13%,83%
30-03-2020,33%,41%,64%,36%,6%,6%,17%,12%,72%
31-03-2020,32%,40%,62%,36%,5%,5%,17%,12%,96%
01-04-2020,32%,39%,61%,35%,5%,5%,16%,11%,111%
02-04-2020,32%,38%,60%,35%,5%,5%,16%,11%,110%
03-04-2020,34%,40%,60%,36%,5%,5%,16%,12%,112%
04-04-2020,28%,35%,66%,31%,5%,4%,17%,11%,200%
05-04-2020,25%,31%,70%,27%,5%,4%,17%,12%,225%
06-04-2020,34%,42%,61%,37%,5%,5%,18%,11%,105%
07-04-2020,33%,41%,60%,36%,5%,5%,18%,11%,137%
08-04-2020,34%,42%,62%,37%,5%,5%,17%,10%,155%
09-04-2020,36%,43%,61%,39%,5%,5%,18%,12%,168%
10-04-2020,27%,27%,33%,27%,4%,3%,13%,12%,179%
11-04-2020,29%,35%,55%,31%,4%,3%,16%,10%,288%
12-04-2020,22%,27%,50%,24%,4%,3%,13%,10%,248%
13-04-2020,23%,22%,25%,23%,4%,2%,12%,12%,121%
14-04-2020,35%,44%,60%,38%,4%,5%,19%,12%,134%
15-04-2020,34%,44%,63%,38%,4%,5%,18%,10%,195%
16-04-2020,34%,42%,63%,38%,4%,5%,18%,11%,203%
17-04-2020,35%,43%,63%,39%,5%,5%,18%,11%,101%
18-04-2020,31%,38%,71%,33%,5%,4%,16%,11%,143%
19-04-2020,29%,36%,73%,32%,5%,4%,11%,13%,321%
20-04-2020,38%,48%,65%,41%,6%,5%,..,12%,139%
21-04-2020,37%,47%,64%,41%,5%,5%,..,11%,150%
22-04-2020,37%,47%,65%,41%,5%,5%,..,11%,201%
23-04-2020,37%,46%,64%,41%,5%,5%,..,11%,220%
24-04-2020,39%,46%,65%,42%,4%,5%,..,12%,188%
25-04-2020,35%,43%,71%,38%,4%,4%,..,12%,292%
26-04-2020,32%,40%,75%,35%,4%,3%,..,13%,341%
27-04-2020,40%,51%,68%,44%,4%,5%,..,12%,158%
28-04-2020,38%,48%,67%,42%,4%,5%,..,11%,49%
29-04-2020,38%,49%,68%,42%,4%,5%,..,11%,112%
30-04-2020,39%,48%,67%,42%,4%,5%,..,11%,97%
01-05-2020,40%,50%,66%,44%,4%,5%,..,12%,123%
02-05-2020,38%,47%,72%,40%,4%,4%,..,12%,308%
03-05-2020,34%,42%,76%,36%,4%,4%,..,13%,257%
04-05-2020,42%,55%,70%,46%,5%,6%,..,12%,155%
05-05-2020,42%,54%,71%,46%,5%,6%,..,12%,132%
06-05-2020,43%,55%,73%,47%,5%,5%,..,12%,227%
07-05-2020,45%,56%,71%,49%,5%,5%,..,13%,225%
08-05-2020,33%,33%,35%,34%,5%,7%,..,20%,237%
09-05-2020,39%,46%,65%,41%,5%,5%,..,13%,384%
10-05-2020,35%,44%,77%,37%,5%,4%,..,13%,150%
11-05-2020,45%,58%,74%,49%,5%,6%,..,12%,100%
12-05-2020,45%,59%,75%,50%,5%,6%,..,13%,144%
13-05-2020,48%,61%,76%,53%,5%,6%,..,12%,152%
14-05-2020,50%,60%,75%,54%,5%,6%,..,13%,210%
15-05-2020,51%,61%,74%,55%,6%,6%,..,13%,174%
16-05-2020,52%,64%,80%,56%,6%,5%,..,13%,282%
17-05-2020,50%,63%,84%,54%,6%,6%,..,15%,306%
18-05-2020,53%,67%,79%,58%,6%,8%,..,14%,164%
19-05-2020,54%,67%,79%,58%,7%,7%,..,14%,168%
20-05-2020,56%,67%,80%,60%,7%,7%,..,13%,231%
21-05-2020,54%,66%,80%,59%,7%,7%,..,13%,224%
22-05-2020,56%,67%,79%,59%,7%,8%,..,14%,121%
23-05-2020,55%,68%,84%,58%,7%,6%,..,14%,161%
24-05-2020,55%,67%,80%,58%,7%,6%,..,16%,264%
25-05-2020,50%,46%,34%,50%,7%,9%,..,19%,283%
